solvent,reference,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"(\XB1)-1,2-PROPANEDIOL",Stovall2016,,,,,,,,,,
(\XB1)-2-BUTANOL,Sprunger2010a,,,,,,,,,,
1-CHLOROBUTANE,Sprunger2009,,,,,,,,,,
1-ETHOXYBUTANE,Lepori1990,Lepori1988,,,,,,,,,
1-ETHOXYPROPANE,Based on activity coefficient equal to unity,,,,,,,,,,
1-ETHYL-2-PYRROLIDINONE,Krummen2002,,,,,,,,,,
1-HEXADECENE,Abraham2012,,,,,,,,,,
1-METHOXYBUTANE,Lepori1991,Lepori1990,Lepori1988,,,,,,,,
1-METHYL-2-PIPERIDINONE,Abraham2009,,,,,,,,,,
1-OCTANOL,Abraham2001,,,,,,,,,,
1-PROPANOL,Sprunger2009a,Shokouhi2016,,,,,,,,,
"1,4-DIOXANE",Abraham2003,Saifullah2011,,,,,,,,,
"1,5-DIMETHYL-2-PYRROLIDINONE",Krummen2002,,,,,,,,,,
2-BUTOXYETHANOL,Sedov2015b,,,,,,,,,,
2-ETHOXYETHANOL,Sedov2015a,,,,,,,,,,
2-ETHYLHEXANOL,Brunner1979,,,,,,,,,,
2-HEPTANOL,Based on activity coefficient equal to unity,,,,,,,,,,
2-HEPTANONE,Based on activity coefficient equal to unity,,,,,,,,,,
2-HEXANOL,Based on activity coefficient equal to unity,,,,,,,,,,
2-HEXANONE,Based on activity coefficient equal to unity,,,,,,,,,,
2-ISOPROPOXYETHANOL,Sedov2015,,,,,,,,,,
2-METHOXYPROPANE,Based on activity coefficient equal to unity,,,,,,,,,,
2-METHYLBUTAN-1-OL,Miyano2006,Miyano2005b,,,,,,,,,
2-PENTANOL,Grubbs2010,,,,,,,,,,
2-PICOLINE,Park1987,Zaitseva2013,,,,,,,,,
2-PROPOXYETHANOL,Sedov2015,,,,,,,,,,
"2,2,4-TRIMETHYLPENTANE",Stephens2012a,,,,,,,,,,
3-HEXANOL,Based on activity coefficient equal to unity,,,,,,,,,,
3-HEXANONE,Bub1979,,,,,,,,,,
3-METHYLBUTAN-1-OL,Sprunger2010a,,,,,,,,,,
3-PENTANONE,Based on activity coefficient equal to unity,,,,,,,,,,
4-FORMYLMORPHOLINE,Abraham2009,,,,,,,,,,
4-HEPTANOL,Based on activity coefficient equal to unity,,,,,,,,,,
4-METHYLPENTAN-2-OL,Based on activity coefficient equal to unity,,,,,,,,,,
4-METHYLPENTAN-2-ONE,Campanella1991,,,,,,,,,,
4-OCTANOL,Based on activity coefficient equal to unity,,,,,,,,,,
"5,8,11,14-TETRAOXAOCTADECANE",Hart2017,,,,,,,,,,
ACETIC ACID,Stovall2015,,,,,,,,,,
ACETONE,Abraham2009a,,,,,,,,,,
